geo,iso3,country,homicide,theft,burglary,robbery
LT,LTU,Lithuania,2.63,409.51,23.94,11.64
LI,LIE,Liechtenstein,2.5,639.76,359.87,17.49
LV,LVA,Latvia,2.4,649.59,124.03,14.43
TR,TUR,Turkiye,2.27,100.69,60.17,13.97
ME,MNE,Montenegro,1.92,57.72,51.15,5.13
IS,ISL,Iceland,1.82,1002.17,304.51,28.42
EE,EST,Estonia,1.82,731.0,,7.35
FI,FIN,Finland,1.78,2277.01,110.82,46.25
BE,BEL,Belgium,1.4,1657.97,407.1,116.33
FR,FRA,France,1.28,1911.46,443.98,82.81
BG,BGR,Bulgaria,1.23,381.82,46.08,14.16
MK,MKD,North Macedonia,1.1,440.85,1.92,9.8
SK,SVK,Slovakia,1.09,142.85,61.35,5.71
HR,HRV,Croatia,1.01,300.91,186.72,19.58
CY,CYP,Cyprus,0.93,65.4,101.93,9.62
MT,MLT,Malta,0.89,751.63,128.85,43.66
SE,SWE,Sweden,0.87,2510.19,600.95,45.11
DK,DNK,Denmark,0.87,2623.31,518.67,24.39
AT,AUT,Austria,0.85,1179.99,700.12,32.6
DE,DEU,Germany,0.83,1376.67,357.06,51.76
RS,SRB,Serbia,0.82,210.79,103.19,8.69
RO,ROU,Romania,0.79,269.02,131.65,15.08
EL,GRC,Greece,0.78,606.64,120.69,27.89
ES,ESP,Spain,0.72,450.87,293.27,129.53
SI,SVN,Slovenia,0.71,1226.82,334.9,14.08
NO,NOR,Norway,0.7,2099.91,,27.37
HU,HUN,Hungary,0.69,629.61,,6.94
PL,POL,Poland,0.69,249.18,156.3,11.6
IE,IRL,Ireland,0.69,1334.7,174.49,28.72
PT,PRT,Portugal,0.68,722.39,146.54,88.37
NL,NLD,Netherlands,0.67,1330.5,184.22,35.25
CZ,CZE,Czechia,0.63,296.01,266.9,12.74
IT,ITA,Italy,0.57,1552.26,,49.77
CH,CHE,Switzerland,0.5,1966.09,514.04,23.58
LU,LUX,Luxembourg,0.3,2711.85,567.96,
